FIPS,State,County,Diabetes_Prev,Hypertension_Prev,Obesity_Prev,Pct_Low_Access_Pop,Median_Income,Poverty_Rate,Bachelors_Degree_Pct,Urban,lapop1,Pop2010,LILATracts_1And10
01001,Alabama,Autauga,11.3,37.1,38.4,68.5785490461967,69841.0,10.7,28.3,1,37424.0,54571,1
01003,Alabama,Baldwin,10.2,32.4,36.8,72.6645269250816,75019.0,10.5,32.8,1,132442.0,182265,1
01005,Alabama,Barbour,16.0,44.1,43.8,69.2246057471683,44290.0,21.9,11.5,1,19007.0,27457,1
01007,Alabama,Bibb,13.3,39.1,41.4,76.63102771110626,51215.0,20.5,11.5,0,17560.0,22915,0
01009,Alabama,Blount,11.6,35.4,37.3,88.70590698161264,61096.0,14.1,15.6,1,50848.0,57322,0
01011,Alabama,Bullock,19.9,48.9,49.4,79.79659153380979,36723.0,25.7,9.0,1,8709.0,10914,1
01013,Alabama,Butler,14.8,41.8,45.5,62.357378144841746,44881.0,21.0,13.8,1,13062.0,20947,1
01015,Alabama,Calhoun,12.7,38.0,38.3,61.57355868164491,55826.0,17.5,20.5,1,73009.0,118572,1
01017,Alabama,Chambers,14.6,41.0,45.4,63.615373374251064,49295.0,15.5,14.6,1,21766.0,34215,1
01019,Alabama,Cherokee,11.3,36.4,40.2,92.64688906845203,50769.0,14.5,15.9,1,24078.0,25989,0
01021,Alabama,Chilton,11.6,36.5,36.3,84.55880668148386,61873.0,13.6,15.2,1,36904.0,43643,1
01023,Alabama,Choctaw,15.1,42.4,45.8,88.93859585828703,44483.0,19.5,13.9,0,12326.0,13859,1
01025,Alabama,Clarke,14.9,41.8,44.4,79.16618278945535,49167.0,20.5,15.4,1,20451.0,25833,1
01027,Alabama,Clay,13.1,38.4,39.6,75.91874820556991,51852.0,16.5,15.2,0,10577.0,13932,0
01029,Alabama,Cleburne,12.2,36.4,39.4,83.21533529254609,53319.0,13.2,18.2,0,12459.0,14972,0
01031,Alabama,Coffee,11.8,35.4,34.1,67.21590454072235,64672.0,17.6,21.5,1,33573.0,49948,1
01033,Alabama,Colbert,12.0,36.8,40.9,66.60174909972808,56736.0,16.9,20.3,1,36250.0,54428,1
01035,Alabama,Conecuh,15.5,42.1,44.7,76.64801935288781,42266.0,27.6,13.1,0,10139.0,13228,1
01037,Alabama,Coosa,13.2,38.2,42.8,89.70448045757865,57063.0,11.6,14.9,0,10351.0,11539,1
01039,Alabama,Covington,11.7,35.7,44.6,70.36409373758772,50886.0,18.0,17.2,1,26573.0,37765,1
01041,Alabama,Crenshaw,12.9,38.1,40.3,77.77218466848842,49040.0,16.2,16.8,0,10815.0,13906,1
01043,Alabama,Cullman,11.6,35.9,39.7,80.42310275352585,60916.0,13.9,19.1,1,64665.0,80406,1
01045,Alabama,Dale,13.5,38.4,44.3,80.72078167598656,53955.0,18.7,19.3,1,40563.0,50251,1
01047,Alabama,Dallas,17.5,45.4,50.5,54.591510725696025,36810.0,29.0,17.0,1,23922.0,43820,1
01049,Alabama,DeKalb,13.8,37.2,38.9,81.13318989157492,51149.0,20.4,13.9,0,57693.0,71109,0
